no [875]
dekireba [1]
dekirudarou [1]
dekitanara [1]
dekuwasanakattaga [1]
demona [1]
demonē [1]
dennoni [1]
dentō [1]
deru [1]
derukarada [1]
deta [1]
detara [1]
detekuru [1]
doai [1]
dochira [1]
doddotchida [1]
doddōsureba [1]
doke [1]
dokkara [1]
dokoikuno [1]
don [1]
donnani [1]
dono [1]
donzokonanoni [1]
dorobō [1]
doryoku [1]
dotchiga [1]
dotchina [1]
dōbutsuna [1]
dōchū [1]
dōdeare [1]
dōdeshou [1]
dōdō [1]
dōkyōna [1]
dōkō [1]
dōnimo [1]
dōomou [1]
dōrida [1]
dōse [1]
dōsenara [1]
dōshidaro [1]
dōzo [1]
dōzoku [1]
edaro [1]
eddare [1]
eddō [1]
eikyō [1]
ekara [1]
enji [1]
enjite [1]
ennani [1]
eraito [1]
eraku [1]
erande [1]
eren-ba [1]
eren-kun [1]
eren-sen [1]
erenda [1]
erendenakereba [1]
erenga-dōshita [1]
eru [1]
erumiha-kuda [1]
esshitteita [1]
etaga [1]
e~tsuē [1]
fubuki [1]
fudan [1]
fufufu [1]
fufufu~tsu [1]
fugu [1]
fukakaina [1]
fukamaru [1]
fukanōdaro [1]
fukin [1]
fukumete [1]
fukushū [1]
fukushūna [1]
fukuzatsu [1]
fumetsuda [1]
fumi [1]
fumidai [1]
fumitodomannēto [1]
fumon [1]
fun [1]
funbareyo [1]
funsen [1]
fureru [1]
furiharai [1]
furui [1]
furukusai [1]
furumae [1]
furusatoda [1]
fusaganē [1]
fusagaru [1]
fusagi [1]
fusagimasu [1]
fusegenai [1]
fusegenakatta [1]
fusegu [1]
fuseide [1]
fushigina [1]
futte [1]
fuyu [1]
fuzake [1]
fuzaken [1]
fuzakeru [1]
fu~tsuore [1]
fūatsu [1]
fūbā [1]
fūda [1]
fūgo [1]
fūji [1]
gada [1]
gai [1]
gaichū [1]
gakitaishō [1]
gakushū [1]
ganbaru [1]
ganēdaro [1]
gare [1]
gashiggashi~tsu [1]
gatteru [1]
ga~tsu [1]
ge [1]
gehoggeho~tsu [1]
geijutsu-tekidatta [1]
gekijō [1]
gekitai [1]
genba [1]
gengo [1]
genkai [1]
genkaidatta [1]
genkaina [1]
genki [1]
genkyōda [1]
gensoku [1]
gero [1]
gerugā-tachi [1]
gge [1]
ggoho~tsu [1]
gijutsudattari [1]
gimonna [1]
gimu [1]
gisei [1]
gochisō [1]
goena [1]
goku [1]
gokurōsan [1]
goryōshin [1]
gosō [1]
gozaimasu [1]
gozen [1]
guai [1]
guoo~tsu [1]
guraida [1]
gurūpu [1]
gussuri [1]
guwa~tsu [1]
gu~tsuū [1]
guā [1]
gyaaa [1]
gyaku [1]
gyakuda [1]
gyā [1]
gyōshi [1]
gōda [1]
gōguru [1]
gōru [1]
gōryū [1]
gūzen [1]
haahhaahhaa~tsu [1]
haaku [1]
hada [1]
hae [1]
haga [1]
hagasanēto [1]
hageshiku [1]
hagurakashita [1]
haha [1]
haha-gai [1]
hahahha~tsu [1]
hahaoya [1]
haha~tsuaha [1]
haha~tsukonna [1]
haha~tsuusouso [1]
hahenda [1]
hahha~tsu [1]
haigo [1]
hainnē [1]
hairetsu [1]
hairi [1]
hairimashita [1]
haita [1]
haitta [1]
hajimeta [1]
hakaru [1]
hakike [1]
hakken [1]
hakkiri [1]
hakobenaikarada [1]
hakonde [1]
hammono [1]
hanarero [1]
hanareru [1]
hanareta [1]
hanasa [1]
hanashiatta [1]
hanashitai [1]
handaga [1]
handan-ryoku [1]
handanda [1]
hane [1]
haneru [1]
hanjida-ire [1]
hanmei [1]
hanpana [1]
hansei [1]
hansūijō [1]
hanyō-sei [1]
haraheru [1]
haranotashi [1]
harawa [1]
hashiran [1]
hashirimawatte [1]
hashirisaru [1]
hason [1]
hassei-gen [1]
hasshi [1]
hata [1]
hatasan [1]
hatasu [1]
hatchigau [1]
hawwatashi [1]
hayakute [1]
hayauma [1]
hazude [1]
hazudesho [1]
hazukashī [1]
hazuseba [1]
hei [1]
heidan-fuku [1]
heidan-me [1]
heishi-san-tachi [1]
heishina [1]
heishinara [1]
heiwadatta [1]
hekkakugo [1]
hemmudada [1]
hensei [1]
heta [1]
hettadaro [1]
hette [1]
heya [1]
hhi~tsu [1]
hie [1]
hieru [1]
higai [1]
higai-gaku [1]
higaisha-tachi [1]
higaishadzura [1]
higashinishiminamikita [1]
hijōjida [1]
hika [1]
hikarabite [1]
hikari [1]
hikarida [1]
hikatta [1]
hike [1]
hiki [1]
hikiagero [1]
hikidashite [1]
hikiiru [1]
hikikaeshita [1]
hikikaeshite [1]
hikisaku [1]
hikitsukero [1]
hikitsureta [1]
hikitsurete [1]
hikiukeya [1]
hikizuri [1]
hikizuridase [1]
hikkakaru [1]
hikkonuite [1]
hikkonuken [1]
hikui [1]
hikuidaro [1]
hinode [1]
hirikidarouga [1]
hirogatte [1]
hirumeshi [1]
hirō [1]
hisshidearu [1]
hitchi [1]
hitei [1]
hitoban [1]
hitodato [1]
hitode [1]
hitogoroshida [1]
hitoiki [1]
hitorashiku [1]
hiza [1]
ho [1]
hodoita [1]
hodokosa [1]
hoe [1]
hoken [1]
hokyū [1]
homete [1]
honbun [1]
honkaku-tekina [1]
honki [1]
honkinara [1]
honmyō [1]
honshitsu [1]
hontōna [1]
hontōnara [1]
hontōwa [1]
horu [1]
hosa [1]
hoshi [1]
hoshi-sa [1]
hoshō [1]
hotondo [1]
hottoite [1]
hottokenai [1]
hyōjō [1]
hyōsō [1]
hōda [1]
hōdan [1]
hōgeki [1]
hōgeki-on [1]
hōhō [1]
hōkoku-dōrida [1]
hōkoku-sho-dōrida [1]
hōtai [1]
ibiki [1]
icha [1]
ichiji [1]
ide [1]
ieda [1]
ieru [1]
igaito [1]
ihen [1]
iikikase [1]
iikikaseta [1]
iikikaseyou [1]
iinari [1]
iinokoshi [1]
iisugi [1]
iiyōda [1]
ijōna [1]
ikan [1]
ikanai [1]
ikanakya [1]
ikanjaroukara [1]
ikanē [1]
ikari [1]
ikashita [1]
ikashite [1]
ikasu [1]
ike [1]
ike-sōda [1]
ikeba [1]
iken [1]
iki [1]
ikiba [1]
ikidzukai [1]
ikimashou [1]
ikimasukara [1]
ikinobiru [1]
ikinobite [1]
ikinokoreru [1]
ikinokoru [1]
ikinuku [1]
ikioi [1]
ikirunara [1]
ikiteiku [1]
ikkokumohayaku [1]
ikou [1]
ikurademo [1]
ikuto [1]
imadake [1]
imadani [1]
imakoko [1]
imanara [1]
imanoha [1]
imanōchida [1]
imasara [1]
imasen [1]
imashitaga [1]
imasuga [1]
imasugu [1]
imasukara [1]
iminēdaro [1]
inaishi [1]
inakute [1]
inshō [1]
ippai [1]
ippashi [1]
ippen [1]
ippoda [1]
ippō [1]
ira [1]
ireru [1]
irete [1]
iri [1]
iruto [1]
iryoku [1]
iryō [1]
ishi-ka [1]
ishikoro [1]
isoganaito [1]
isogashī [1]
isogimashou [1]
isogu [1]
issei [1]
isshō [1]
isso [1]
itai [1]
itakara [1]
itami [1]
itanoni [1]
itara [1]
itarashī [1]
itchimaeba [1]
itcho [1]
itchōmae [1]
ito [1]
itsuda [1]
itsukara [1]
itsunomani [1]
itsunomanika [1]
itsuwattari [1]
itsuwatte [1]
itta-sha-tachi [1]
ittadesho [1]
ittakarada [1]
ittakedo [1]
ittaro [1]
ittarou [1]
ittenaidaro [1]
itterukedo [1]
ittetaro [1]
ittoke [1]
iuga [1]
iutōri [1]
iwakan [1]
iwanai [1]
iwanaidaroukedo [1]
iwanakya [1]
iyana [1]
izen [1]
izennara [1]
i~ēgā [1]
jaarimasenshi [1]
jama-sha [1]
jamawosurunara [1]
jan-soku [1]
janaidesho [1]
janaideshou [1]
janaiga [1]
janakatta [1]
janaku [1]
janakutatte [1]
janēto [1]
jau [1]
jibeta [1]
jibunnotameni [1]
jigo [1]
jijō [1]
jikaku [1]
jiken [1]
jimau [1]
jimen [1]
jinari [1]
jinbutsuda [1]
jinbutsudakarada [1]
jintai [1]
jirihin [1]
jiriki [1]
jishin [1]
jishinnē [1]
jissai [1]
jitchoku [1]
jitsuryoku-shada [1]
jitto [1]
jukuren [1]
jīku [1]
jōho [1]
jōkan [1]
jōkan-dono [1]
jōkyō-ka [1]
jōkyōda [1]
jōkyōna [1]
jōnai [1]
jōtai [1]
jōzu [1]
jūbundatta [1]
jūmin [1]
jūnin [1]
jūnin-tachi [1]
jūrai [1]
jūshō [1]
jūshōda [1]
kabe-jō [1]
kachiatte [1]
kachikan [1]
kaerazu [1]
kaereba [1]
kaeriminai [1]
kaesanēto [1]
kaeta [1]
kaetcha [1]
kaete [1]
kaetta [1]
kaettara [1]
kaettekita [1]
kaettenai [1]
kaettero [1]
kaezu [1]
kagai-sha [1]
kagayaka [1]
kagiranaishi [1]
kagiranē [1]
kaifuku [1]
kaihi [1]
kaihō [1]
kaiketsu [1]
kaikugutte [1]
kaikō [1]
kaimon [1]
kaishū-on [1]
kaizan [1]
kakaranai [1]
kakare [1]
kakawarazu [1]
kakawatte [1]
kakedakedo [1]
kakenukero [1]
kakeru [1]
kaketsuke [1]
kakiatsumete [1]
kakkoyoku [1]
kakudan [1]
kakuhan [1]
kakuho [1]
kakujitsuna [1]
kakuri [1]
kakuritsu [1]
kakusan [1]
kakushi-yō [1]
kakushite [1]
kakutō [1]
kakuzetsu [1]
kama [1]
kamiawanaku [1]
kamikorose [1]
kamitsuitara [1]
kamu [1]
kana [1]
kanagurisutete [1]
kanaito [1]
kanatte [1]
kanawanakya [1]
kanban [1]
kanchigaida [1]
kandzume [1]
kangaerudearou [1]
kangaerunara [1]
kangaerya [1]
kangaeyou [1]
kankaku [1]
kankakuda [1]
kankei-sei [1]
kankyō [1]
kanri [1]
kanryō [1]
kansei [1]
kansetsu-waza [1]
kanshite [1]
kanshū [1]
kanōnakagiri [1]
kanōnara [1]
kaoda [1]
karadatta [1]
karade [1]
karanara [1]
karini [1]
karita [1]
karite [1]
kasegeru [1]
kaseida [1]
kasetsu [1]
kaseyo [1]
kashite [1]
kassaratte [1]
katan [1]
kate [1]
katsudō [1]
katte [1]
kattena [1]
kawai [1]
kawaisō [1]
kawaranai [1]
kawaranakattatte [1]
kawarimashita [1]
kawarinai [1]
kawarini [1]
kawaru [1]
kawashita [1]
kawattennoni [1]
kawattenē [1]
kawaī [1]
kayaku [1]
kayowai [1]
kaze [1]
kazoe [1]
kazoeru [1]
keba [1]
keigona [1]
keikaku [1]
keikō [1]
keisei [1]
kekkon [1]
kemushi-nami [1]
ken [1]
kenpei-tachi [1]
kerya [1]
kesanakya [1]
keshikakete [1]
kesshi [1]
kesu [1]
kettei [1]
kezu [1]
kezura [1]
kezuritore [1]
kiai [1]
kibō [1]
kicha [1]
kida [1]
kidzuitara [1]
kidzuite [1]
kidzukanakatta [1]
kidzukeba [1]
kie [1]
kiemashitaga [1]
kienai [1]
kieru [1]
kiete [1]
kigakarina [1]
kigatsuita [1]
kii [1]
kikaiwomatsudato [1]
kikaku-sho [1]
kikanakatta [1]
kikeba [1]
kikenna [1]
kikoe [1]
kikoemasu [1]
kikoeru [1]
kikō [1]
kimagure-sa [1]
kimaru [1]
kimatte [1]
kime-waza [1]
kina [1]
kinkō [1]
kinmu [1]
kinniku [1]
kinodokuda [1]
kinpatsu [1]
kinpin [1]
kinēdaro [1]
kioku [1]
kiraidakara [1]
kirenakatta [1]
kirenē [1]
kirihanasa [1]
kirihiraki [1]
kirinukete [1]
kirisuteyou [1]
kiritoranaito [1]
kiro [1]
kisama-ra [1]
kiseki [1]
kiseki-teki [1]
kitai [1]
kitakara [1]
kitanai [1]
kitandatta [1]
kitara [1]
kitatte [1]
kitchimaeba [1]
kitemorau [1]
kitsu [1]
kitta [1]
kitte [1]
kittsu [1]
kiya [1]
kiyō [1]
kizamu [1]
kizetsu [1]
kizoku-ka [1]
kizu [1]
kizuguchi [1]
kizukitai [1]
kka [1]
kkara [1]
kku~tsu [1]
kodaro [1]
kodomo [1]
kodomodachi [1]
koe [1]
koereba [1]
koeta [1]
koewokakeru [1]
kokkaku [1]
kokona [1]
kokorodzuyoi [1]
kokorokara [1]
kokumotsu [1]
komakai [1]
komaru [1]
komattana [1]
kona [1]
konakerya [1]
konakute [1]
kondokoso [1]
kongo [1]
konki [1]
konna-wa [1]
konnan [1]
konnanda [1]
konnandarou [1]
kono-jikan [1]
kono-jikande [1]
kono-ko [1]
kono-me [1]
konohen [1]
konomae [1]
konomama [1]
konomi [1]
konran [1]
konseki [1]
konya [1]
kore-goto [1]
koreda [1]
korekarada [1]
koro [1]
korondaga [1]
korosanaide [1]
korosanakute [1]
korosanakya [1]
korosareru [1]
korose [1]
koroshiai [1]
koroshiau [1]
koroshita [1]
koroshitai [1]
koseki [1]
koshi [1]
koshiginchaku [1]
koso [1]
kossetsu [1]
kotae [1]
kotaeru [1]
kotchida [1]
kotobadesho [1]
kotodakarada [1]
kotodarou [1]
kotodatta [1]
kotodearu [1]
kotoni [1]
kotonēga [1]
kotoshi [1]
koute [1]
kowakunai [1]
kowasareta [1]
kowashimasu [1]
koya [1]
kubi-goto [1]
kuchidashi [1]
kuchiwotozasu [1]
kuchō [1]
kudaka [1]
kudan [1]
kudandaga [1]
kudaranai [1]
kue [1]
kufū [1]
kujo [1]
kukuride [1]
kumanara [1]
kumenai [1]
kumo [1]
kunren-chi [1]
kunsei [1]
kura [1]
kurabete [1]
kuraku [1]
kurashita [1]
kurasu [1]
kuratteru [1]
kurayami [1]
kureguremo [1]
kurenēdaro [1]
kurerunara [1]
kureta [1]
kurisu [1]
kurisuta-tachi [1]
kurisutada [1]
kurisutana [1]
kurukara [1]
kurunda [1]
kurushinde [1]
kurō [1]
kusareen [1]
kuseda [1]
kusoga [1]
kusoonna [1]
kusottare [1]
kusottareda [1]
kusso [1]
kutchimatta [1]
kutchimatte [1]
kutsujoku [1]
kutsuroide [1]
kuttenēdaro [1]
kuttoke [1]
kuwashiku [1]
kuwashī [1]
kuwawatta [1]
kuwazu [1]
kuzure-sōna [1]
kuzureru [1]
kuzusa [1]
kya [1]
kyojin-darakedato [1]
kyojin-darakena [1]
kyojin-san-kata [1]
kyojin-tachidatta [1]
kyojin-tomo [1]
kyojindattakedo [1]
kyojindattatte [1]
kyojindeshita [1]
kyojinna [1]
kyojinnara [1]
kyokuhoku [1]
kyokuryoku [1]
kyoride [1]
kyozō [1]
kyōbō-shadeatte [1]
kyōfu [1]
kyōgū [1]
kyōida [1]
kyōretsuda [1]
kyōshin-sha [1]
kyōto [1]
kyūen [1]
kyūhō [1]
kyūna [1]
kādo [1]
kōdōda [1]
kōishō [1]
kōjitsu [1]
kōkai [1]
kōna [1]
kōritsu [1]
kōsaku [1]
kōsanda [1]
kōsen [1]
kōtta [1]
kōzoku [1]
kōzō [1]
kōzō-jō [1]
kūu [1]
machigainē [1]
machikamaete [1]
machikaneda [1]
madedatta [1]
mado [1]
maeda [1]
mafurā [1]
maiasa [1]
maigo [1]
majikayo [1]
makasete [1]
makena [1]
makeruna [1]
makete [1]
makizoe [1]
makotoni [1]
makutta [1]
mamada [1]
mamadatta [1]
mamade [1]
mammā [1]
mamorou [1]
mamorubeku [1]
manabu [1]
mane [1]
manma [1]
manzoku [1]
maria-nai [1]
maru [1]
mashiteya [1]
massakini [1]
masu [1]
matase [1]
matenakatta [1]
matomo [1]
matsuei [1]
matta [1]
mattero [1]
mattete [1]
mattou [1]
mattōna [1]
mawatta [1]
mawatteta [1]
mawattotta [1]
mayakashi [1]
mayotta [1]
mazuikoto [1]
mazuku [1]
mazuwa [1]
ma~tsuimasara [1]
meate [1]
mechakuchade [1]
medatsu [1]
megami-sama [1]
megane [1]
meihakuda [1]
meiji [1]
meirei [1]
meiwaku [1]
mendō [1]
menisuru [1]
menomaede [1]
mewomukeru [1]
mewosamasu [1]
mezameta [1]
mezaseba [1]
mezashi [1]
mezasou [1]
mezasubekida [1]
mi-sama [1]
mi-sugida [1]
miataranai [1]
miatarimasen [1]
michi [1]
michidaga [1]
midareru [1]
mien [1]
mienakatta [1]
mienē [1]
mieta [1]
migawari [1]
migigawa [1]
mihari [1]
miharu [1]
mijikai [1]
mikaeshite [1]
mikata [1]
mikatada [1]
mikatana [1]
mikurabetara [1]
mimawa [1]
mimi [1]
mimonodaga [1]
minagoroshi [1]
minka [1]
minkan [1]
minofurikata [1]
minogashite [1]
minomushi [1]
miotoshita [1]
mirya [1]
misero [1]
misete [1]
mitaide [1]
mitame [1]
mitara [1]
mitate [1]
mitekudasai [1]
mitemasen [1]
mitenai [1]
mitenairashī [1]
miterudake [1]
mitsuke [1]
mitsukedashi [1]
mitsuketa [1]
mitēna [1]
miugoki [1]
miushinau [1]
miwatase-sōda [1]
miyage [1]
miyou [1]
mizuda [1]
mizukara [1]
mmō [1]
mochikakeru [1]
mochikotae [1]
moda [1]
modoranēkara [1]
modoreta [1]
modotta [1]
modottekita [1]
modotteru [1]
mogumogu [1]
mojidōri [1]
mokutekichi [1]
mokutekide [1]
mondai [1]
mondaina-sa-sōda [1]
mondaro [1]
mondarou [1]
mondatta [1]
monna [1]
monnē [1]
monona [1]
monēga [1]
monēshi [1]
moraimashou [1]
moraitē [1]
moraou [1]
moratte [1]
morattoite [1]
morattorukara [1]
morau [1]
morawanaito [1]
morawanakute [1]
morida [1]
motanē [1]
motarasu [1]
motcha [1]
moto [1]
motomenai [1]
motomete [1]
motsu [1]
motta [1]
moyashi [1]
mubō [1]
mucha [1]
muda [1]
mudana [1]
muishiki [1]
mujikakudatta [1]
mujun [1]
mukaemasu [1]
mukaeta [1]
mukai [1]
mukaiau [1]
mukaitaidarou [1]
mukattenē [1]
mukemasu [1]
mukeru [1]
mukiau [1]
muku [1]
mukuchina [1]
mukō-gawadato [1]
murabito [1]
muragatteru [1]
murinara [1]
muryokuna [1]
mushi [1]
mushinkei [1]
mushinoikida [1]
musumeda [1]
muteppōna [1]
myōni [1]
mātin [1]
mōdaijōbu [1]
mōdameka [1]
mōjū [1]
mōkenagara [1]
mōshimasen [1]
mōsukoshi [1]
mōsukoshida [1]
na-sa-sōda [1]
na-sa-sōdaga [1]
na-sa-sōdashi [1]
naatte [1]
nagai [1]
nagaku [1]
nagarete [1]
nagashita [1]
nagashite [1]
nagatono [1]
naguri [1]
naigashiro [1]
naizō [1]
nakamada [1]
nakamadatta [1]
nakamadatta-sha-tachi [1]
nakattakara [1]
nakattashi [1]
nakigoe [1]
nakinagara [1]
nakiwameite [1]
nakunatchimatta [1]
namakura [1]
name [1]
nameyagatte [1]
nanara [1]
nandeda [1]
nani-tai [1]
nanidaro [1]
nanidarou [1]
nanina [1]
nanise [1]
nanite [1]
naniyatteruno [1]
nanjūmannin [1]
nankahenda [1]
nankanai [1]
nankanaikara [1]
nannakya [1]
nannanite [1]
nannootoda [1]
nannotamena [1]
nanoni [1]
nanoni-sō [1]
nanotte [1]
nantonakudaga [1]
nao [1]
naori [1]
naosete [1]
naraba [1]
narabitatsu [1]
naranakatta [1]
naranakutatte [1]
narazu [1]
narazumono [1]
nareba [1]
naren [1]
nareru [1]
naretara [1]
nari-sōda [1]
nari-sōna [1]
narimasu [1]
naritakatta [1]
naruga [1]
naruhodo [1]
naruyaro [1]
nasake [1]
nasakenakute [1]
nashida [1]
nasubeki [1]
natchimatta [1]
natchimatte [1]
natchimaudarouga [1]
nattenai [1]
nattenē [1]
nayan [1]
nazenara [1]
ndashi [1]
ndatta [1]
ndeshou [1]
nedoko [1]
negatta [1]
negawakuba [1]
nejiro [1]
nekonde [1]
nemu [1]
nemureta [1]
nennotame [1]
nerai [1]
neratta [1]
nerau [1]
nerawareta-me [1]
nerrivu~ai [1]
netara [1]
nezumi-kko [1]
nezō [1]
niawazu [1]
nichibotsuda [1]
nidoto [1]
nigashite [1]
nigemashou [1]
nigerugakachida [1]
nigiritsubusa [1]
nikkō [1]
niku [1]
nikui [1]
nikuma [1]
nikutarashikute [1]
ningen-yōna [1]
ningenda [1]
ningendakara [1]
ningendearu [1]
ningenden [1]
ninzū [1]
nioi [1]
nishi [1]
nite [1]
niuma-sha [1]
nja [1]
njarou [1]
nna [1]
nn~tsu [1]
nodakara [1]
nodarou [1]
nodarouga [1]
nodatta [1]
nodeshou [1]
nodeshouga [1]
nogareru [1]
nogasu [1]
nokku [1]
nokoranai [1]
nokori [1]
nokoru [1]
nokosazu [1]
nokoseru [1]
nokoshita [1]
nokotte [1]
nokotten [1]
nokottenai [1]
nomazu [1]
nomitē [1]
nomou [1]
nonaraba [1]
nonbiri [1]
nondakure [1]
nonde [1]
nore-sō [1]
nori [1]
noro [1]
notatakai [1]
nottara [1]
notte [1]
nozomanē [1]
nozomi [1]
nozomu [1]
nte [1]
nu [1]
nuke [1]
nukedashi [1]
nukedashite [1]
nuku [1]
nusunda [1]
nya [1]
nyakara [1]
nyūdan [1]
nōri [1]
nōshintō [1]
o-goto [1]
oadzukeda [1]
obasan [1]
obieru [1]
obiete [1]
obikiyose [1]
oboe [1]
oboerukara [1]
oborete [1]
ochi [1]
ochiru [1]
ochitsuite [1]
odayakana [1]
odoroita [1]
odoroki [1]
odosa [1]
odoshi [1]
oeru [1]
ogameru [1]
ohitoyoshida [1]
oide [1]
oikake [1]
oikakeru [1]
oinande [1]
oitachi [1]
oitsukenai [1]
oitsume [1]
oiyara [1]
ojisan-tachi [1]
okage [1]
okamai [1]
okashikunai [1]
okashikunē [1]
okashīdesho [1]
okazu [1]
oke [1]
oki [1]
okiagarenēdaro [1]
okiagaru [1]
okitai [1]
okite [1]
okizari [1]
okka [1]
okkorya [1]
okonai [1]
okonaimasu [1]
okonatte [1]
okoranaide [1]
okorareru [1]
okoru [1]
okosu [1]
okotte [1]
okotterudaro [1]
okubyōna [1]
okure [1]
okureru [1]
okuri [1]
okuru [1]
okāsan [1]
omae-shidaina [1]
omaedaro [1]
omaemoda [1]
omaenande [1]
omaeninara [1]
omaewo [1]
omoenai [1]
omoenaikedo [1]
omoenē [1]
omoeru [1]
omoidatta [1]
omoikomu [1]
omoshirokunē [1]
omottadarou [1]
omottakaradarou [1]
omottayori [1]
omotten [1]
omottenai [1]
omottetaga [1]
omoukedo [1]
omowanai [1]
omowanē [1]
on [1]
onkei [1]
onna [1]
onnanoko [1]
ono [1]
oreda [1]
orenchi [1]
orenimakasero [1]
oroshita [1]
oroshite [1]
orosu [1]
oru [1]
osamatchimatta [1]
ose [1]
osewa [1]
oshi [1]
oshieru [1]
oshikunakatta [1]
oshī [1]
oso [1]
osokatta [1]
osokattana [1]
osoroshi-sa [1]
osowareta [1]
ossharu [1]
otokonara-sa [1]
otoru [1]
otoshina [1]
otoshitatte [1]
otoshite [1]
otosu [1]
otozurenai [1]
owareru-sha [1]
owari [1]
owaru [1]
oya [1]
oyaji [1]
oyobi [1]
oyobimasendeshita [1]
o~tsuoi [1]
o~tsuomae [1]
panchida [1]
panda [1]
piyo [1]
ppo [1]
pēsu [1]
ra [1]
rainā-san [1]
rainādakara [1]
raināde [1]
rainānara [1]
rakka [1]
rakudatta [1]
ranbōna [1]
rarenaku [1]
rarenakute [1]
rarenēkara [1]
rarerudaro [1]
raretara [1]
rarezu [1]
rasshai [1]
reigai [1]
reisei [1]
remasu [1]
ren [1]
renai [1]
renchū [1]
renraku [1]
renu [1]
renzu [1]
rerudarou [1]
retaikara [1]
retakaradeshita [1]
retakedo [1]
retemasu [1]
ri [1]
ridatsu [1]
rikaishiaeru [1]
rippa [1]
risei [1]
ritaia [1]
riyūdakedo [1]
rotenshō [1]
ryōiki-nai [1]
ryōme [1]
ryōsho [1]
ryōude [1]
rō [1]
rōpu [1]
rōsoku [1]
rōze-nai [1]
rūto [1]
sagasanaito [1]
sagashimawattaga [1]
sagasou [1]
sagyō [1]
sai [1]
saiakuda [1]
saidai [1]
saidaigen [1]
saigomade [1]
saigona [1]
saikin [1]
saikō [1]
saishin [1]
saisoku [1]
saitan [1]
saitei [1]
saiwai [1]
saizensen [1]
sakeyouga [1]
sakida [1]
sakihodo [1]
sakini [1]
sakuhin [1]
samashitara [1]
samayotte [1]
samenaiyume [1]
sanī [1]
sarau [1]
sasageta [1]
sasete [1]
saseyo [1]
sashana [1]
sashidaseba [1]
sashidasu [1]
sassato [1]
satogaeri [1]
satora [1]
satsui [1]
satsujinki [1]
satsujinkida [1]
sawagi [1]
sa~tsu3-ri [1]
seigi-kan [1]
seikaideshita [1]
seikaku [1]
seiseki [1]
seishi [1]
seisoku [1]
seizon [1]
seizon-sha [1]
sejō [1]
seken [1]
sekizō [1]
sekkaku [1]
sekoi [1]
sematte [1]
sen [1]
sengen [1]
senjō [1]
senken-taida [1]
senkō [1]
sensaina [1]
sensaku [1]
senshida [1]
senshidatta [1]
senshidattaga [1]
sensō [1]
sentaku [1]
senzo-sama [1]
sereba [1]
serya [1]
setai [1]
setsu [1]
sezu [1]
shabennakattakedo [1]
shabererujan [1]
shabereyo [1]
shaberi-katada [1]
shaberi-katana [1]
shabettenaide [1]
shatei-nai [1]
shi-gachida [1]
shiawase [1]
shibore [1]
shibu [1]
shichū [1]
shidaide [1]
shidaidesho [1]
shifuku [1]
shiganshina-ku [1]
shigotoda [1]
shiharau [1]
shiji [1]
shikaku [1]
shikanēga [1]
shikanēkedo [1]
shikanēnoni [1]
shikatanaku [1]
shikatsumondaidaga [1]
shiki [1]
shikichi-naina [1]
shikida [1]
shikujiru [1]
shikumi [1]
shikyū-hin [1]
shimasu [1]
shimattarashī [1]
shimaudarou [1]
shimeno [1]
shimesu [1]
shimete [1]
shinaide [1]
shinaiga [1]
shinakereba [1]
shinakucha [1]
shinan [1]
shinanai [1]
shinchō [1]
shindara [1]
shindemasennode [1]
shindoi [1]
shinerunoni [1]
shinikaketa [1]
shinikakete [1]
shinimonogurui [1]
shinitai [1]
shinitakunai [1]
shinjita [1]
shinjite [1]
shinjō [1]
shinkoku-ka [1]
shinnēkedo [1]
shinoge-sōda [1]
shinpai [1]
shinpei-tachi [1]
shinpen [1]
shinrai [1]
shinro [1]
shinsoko [1]
shinsō [1]
shinuhodo [1]
shinukatoomotta [1]
shiodokida [1]
shiraberu [1]
shiran [1]
shiranai [1]
shiranai-sha [1]
shiranakattayo [1]
shiranakute [1]
shiranēga [1]
shirasa [1]
shirase [1]
shirasero [1]
shirazu [1]
shirenaikara [1]
shirenaikedo [1]
shiromono [1]
shiryokuwotsukusu [1]
shiryō [1]
shisei [1]
shitagau [1]
shitagawanai [1]
shitaidokoroka [1]
shitakara [1]
shitakedo [1]
shitaradakedo [1]
shitashī [1]
shitau [1]
shitenaide [1]
shitsumon [1]
shitsurei [1]
shitsureishimasu [1]
shitteita [1]
shitteita-sha [1]
shittemasu [1]
shitten [1]
shittennara [1]
shittetakedo [1]
shittete [1]
shiwaza [1]
shizai [1]
shizuka [1]
shizukada [1]
shozoku [1]
shukketsu [1]
shumi [1]
shuppatsuda [1]
shuppatsurashī [1]
shuryoku [1]
shuryō [1]
shusshin [1]
shusshin-sha [1]
shuttatsu [1]
shīna-nai [1]
shīto [1]
shōbu [1]
shōbuda [1]
shōgai [1]
shōganē [1]
shōganēdaro [1]
shōgeki [1]
shōki [1]
shōkibo [1]
shōkibodaga [1]
shōmei [1]
shōnen: [1]
shōsū [1]
shōzō-ga [1]
shūchaku [1]
shūdan [1]
shūgeki [1]
shūnen [1]
shūraku [1]
soba [1]
sochira [1]
sodatero [1]
soegi [1]
soitsu-goto [1]
sokka [1]
soku [1]
sokuseki [1]
sokushida [1]
somatsuna [1]
somenaito [1]
sonaete [1]
sonchō [1]
sonde [1]
songai [1]
sonna-wa [1]
sonohi [1]
sonoko [1]
sonomonoda [1]
sonotamenara [1]
sonzaidato [1]
soredake [1]
soredewa [1]
soredokoro [1]
soreijō [1]
sorenari [1]
soreni [1]
sorotta [1]
