no [2354]
tamote [3]
taoreru [3]
tasukaritai [3]
tasū [3]
tatakaenai [3]
tatakaeru [3]
tatakawanakereba [3]
tateru [3]
teashi [3]
tettaida [3]
to-ka [3]
tochi [3]
tokida [3]
tokugi [3]
tomare [3]
tora [3]
tore [3]
torikago [3]
tsudzuketa [3]
tsugini [3]
tsugitsugini [3]
tsukatta [3]
tsukau [3]
tsukkome [3]
tsumi [3]
tsumoridatta [3]
tsura [3]
tsurai [3]
tsutomeru [3]
tsuyome [3]
tōbatsu-sū [3]
tōru [3]
tōzen [3]
ubaikaesu [3]
ubau [3]
uejini [3]
umai [3]
undō [3]
ushirokara [3]
usoda [3]
uuū [3]
uwa~tsuā [3]
uū [3]
wagunā [3]
wakaranaikedo [3]
wana [3]
wanē [3]
waraigoe [3]
warera [3]
wari [3]
warukatta [3]
wasureruna [3]
watashiniha [3]
yabutta [3]
yakusoku [3]
yame [3]
yaranakute [3]
yareba [3]
yarimashou [3]
yoba [3]
yobi [3]
yoppodo [3]
yudan [3]
yudane [3]
yukue [3]
yurugen [3]
yōdaga [3]
yōsu [3]
yūkanna [3]
zakkurē [3]
zamada [3]
zangeki [3]
zei [3]
zenmon [3]
īdaro [3]
īdarou [3]
īkara [3]
ōi [3]
ōkute [3]
ōo [3]
ū~tsu [3]
〜 [3]
危 [3]
噛 [3]
- [2]
-jōna [2]
1-kagetsu-go [2]
1-kai [2]
1-pai [2]
1-po-gai [2]
10-ri [2]
100-bai [2]
100-ri [2]
2-pon [2]
2-taida [2]
3-nenkan [2]
3-wari [2]
30-byō [2]
30-nichi-go [2]
5-nen-burida [2]
500-ri [2]
aaaa [2]
aaā [2]
abarete [2]
abuna [2]
abunakatta [2]
aete [2]
ageru [2]
agerukara [2]
ahaha [2]
ahahahaha [2]
aiba [2]
aikawarazu [2]
aimaina [2]
aji [2]
akai [2]
akiramenai [2]
akirameru [2]
amaeta [2]
amarini [2]
ammasaka [2]
anata-tachi [2]
anmari [2]
anzen [2]
ara [2]
arai [2]
arasoi [2]
aratani [2]
arawareru [2]
areba [2]
arigato [2]
arigatōgozaimasu [2]
arou [2]
arubeki [2]
aruberuto [2]
aruga [2]
aruminda [2]
aruteido [2]
asa [2]
asai [2]
asette [2]
ashidematoi [2]
atamanowarui [2]
atari [2]
atosukoshi [2]
atsu [2]
attakara [2]
attara [2]
awaseru [2]
azamuki [2]
a~ [2]
aā [2]
bakarida [2]
bakuhatsu [2]
ban [2]
bara [2]
be [2]
bibitte [2]
bikkuri [2]
bosu [2]
botto [2]
buchikomu [2]
bujide [2]
busshi [2]
busō [2]
butte [2]
bāka [2]
chichioya [2]
chie [2]
chigainai [2]
chikachirōni [2]
chikagai [2]
chikarada [2]
chikashitsuda [2]
chikatta [2]
chikei [2]
chikishō [2]
chimaeba [2]
chirashite [2]
chisuji [2]
chiten [2]
chitsujo [2]
chi~tsuuru [2]
chokugo [2]
chīsana [2]
chōdai [2]
chūcho [2]
dageki-on [2]
daibubun [2]
daijōbunano [2]
dakai [2]
dakeja [2]
dakenara [2]
damattete [2]
damena [2]
darehitori [2]
dareshimo [2]
dasazu [2]
dashi [2]
dashita [2]
dashite [2]
dasshutsuda [2]
dato [2]
dattara [2]
dattede [2]
deki [2]
deki-sō [2]
dekimasu [2]
dekinakereba [2]
dekinē [2]
dekizu [2]
demasu [2]
demonē [2]
denakya [2]
denisu [2]
dereba [2]
detekita [2]
detekoi [2]
dokoro [2]
dono [2]
doyomeki [2]
dōka [2]
dōkatsu [2]
dōkō [2]
dōna [2]
dōzo [2]
eichi [2]
eichidearu [2]
eikyō [2]
erai [2]
ere [2]
eren-tachi [2]
erennara [2]
eruvu~in-kun [2]
fujin [2]
fukai [2]
fukumu [2]
fukunde [2]
fukusū [2]
fumei [2]
fun~tsu [2]
furi [2]
furina [2]
furusato [2]
fusage [2]
fusagenai [2]
fusegeru [2]
fusei [2]
fuseida [2]
fushō [2]
fushō-sha [2]
futora [2]
fuwa [2]
fuzake [2]
fū [2]
fūdo [2]
gai [2]
gaichūda [2]
gainen [2]
gaisenda [2]
gaki-domo [2]
ganbatta [2]
gare [2]
gatai [2]
genjitsu-teki [2]
gimu [2]
giryō [2]
gokurō [2]
gomenkudasai [2]
gosō [2]
gosō-dan [2]
gua~tsu [2]
guchagucha [2]
gurai [2]
guzu [2]
gyaku [2]
haaku [2]
hade [2]
hahaha [2]
hahaoyada [2]
hahei [2]
haiboku [2]
haichi [2]
haikyo [2]
haikyū [2]
hairi [2]
haitteru [2]
hajimeta [2]
hakonde [2]
hanare [2]
hanarete [2]
hanashiau [2]
hanashida [2]
hanashidaga [2]
hanauta [2]
handa [2]
handanda [2]
hangyaku [2]
hangyaku-shada [2]
hangyaku-zai [2]
hankō [2]
hanshoku [2]
happō [2]
haratte [2]
hashirikomu [2]
hashitte [2]
hataraitakara [2]
hatashite [2]
hattatsu [2]
hayauma [2]
hazuna [2]
ha~a~tsu [2]
heishi-chōda [2]
heishidearu [2]
heishitaru [2]
hen [2]
henjin [2]
hensei [2]
heya [2]
hide [2]
hikiiru [2]
hikkurikaesu [2]
hinan-min [2]
hiroi [2]
hirō [2]
hisonde [2]
hitei [2]
hito-gui [2]
hitsuyōdatta [2]
hitsuyōnai [2]
hiyaku-teki [2]
ho [2]
hokyū-shitsu [2]
hokyū-sho [2]
hone [2]
honkina [2]
honrai [2]
hontōka [2]
hontōnanoka [2]
horobosu [2]
horobu [2]
hoshikunai [2]
hottoite [2]
hyōka [2]
hē [2]
hōhi [2]
hōi [2]
hōkai [2]
hōshin [2]
ichigeki [2]
ichiji [2]
ichijitekini [2]
ide [2]
ienai [2]
ii [2]
ikan [2]
ikanakute [2]
ikasu [2]
ikenaikara [2]
ikinobita [2]
ikinokotte [2]
ikinuku [2]
ikitakya [2]
ikitemasu [2]
ikiwohaku-on [2]
imagoro [2]
imasen [2]
imēji [2]
inaito [2]
inochiwokakeru [2]
iou [2]
ippai [2]
iranai [2]
iro [2]
iroiro [2]
iron [2]
irudarou [2]
iruga [2]
isha [2]
isogu [2]
issai [2]
isso [2]
itadakitai [2]
itade [2]
itakara [2]
itakunai [2]
itami [2]
itashimasu [2]
ittadarou [2]
ittari [2]
ittarou [2]
ittē [2]
iunara [2]
iwan [2]
iyagaru [2]
iyagatta [2]
jakkan [2]
janaidarou [2]
janaikara [2]
janakattara [2]
janakute [2]
janga [2]
janna [2]
jibun-goto [2]
jibunde [2]
jijō [2]
jikkō [2]
jiman [2]
jinbutsu [2]
jinsei [2]
jinseidatta [2]
jinzai [2]
jisatsu [2]
jishōkōi [2]
jissen [2]
jizen [2]
jo [2]
junbida [2]
jutsudeari [2]
jāna [2]
jōdeki [2]
jōkyōda [2]
jū [2]
jūrin [2]
kabau [2]
kachitai [2]
kada [2]
kaeritai [2]
kaero [2]
kaerou [2]
kaerubasho [2]
kaete [2]
kagiride [2]
kaihei-on [2]
kaimon [2]
kaisan [2]
kaite [2]
kajiri [2]
kakaete [2]
kakaru [2]
kakawaru [2]
kakkō [2]
kako [2]
kakuho [2]
kakuji [2]
kakushi [2]
kakusu [2]
kamawanai [2]
kanenai [2]
kangaero [2]
kanjin [2]
kanjiru [2]
kankei [2]
kanojo [2]
kanshi [2]
kanshite [2]
kanōda [2]
kanōseida [2]
karada-jū [2]
karadakara [2]
karamo [2]
kasegeta [2]
kasegi [2]
kashite [2]
kassabaite [2]
kasu [2]
katachi [2]
katai [2]
katakida [2]
katamari [2]
kate [2]
kateba [2]
katenē [2]
kawa [2]
kawaranai [2]
kehai [2]
keigo [2]
keikaku [2]
keikaku-teki [2]
keireida [2]
kenkyū [2]
kenshō [2]
kentō [2]
kera [2]
keri [2]
kero [2]
kesshite [2]
kette [2]
kettei-ken [2]
kiai [2]
kibun [2]
kidō-ryoku [2]
kijun [2]
kikendakara [2]
kikimashita [2]
kikitai [2]
kikkake [2]
kikoeru [2]
kimaru [2]
kimero [2]
kinniku [2]
kirai [2]
kireru [2]
kiritotte [2]
kiritsu [2]
kiru [2]
kisamada [2]
kitanai [2]
kitara [2]
kitazo [2]
kitta [2]
kizuna [2]
kochira [2]
kodō [2]
koeta [2]
kokoroyori [2]
kokyū [2]
komatta [2]
komatte [2]
konai [2]
konjō [2]
konnan [2]
konnichiwa [2]
kono-ko [2]
konpon-tekina [2]
korekarada [2]
koro [2]
korosanakya [2]
koroseru [2]
koroshiai [2]
koroshitai [2]
korosubekida [2]
korya [2]
koshinuke [2]
koshinuke-domo-me [2]
koshinukeda [2]
kotta [2]
kowa [2]
kuitomeru [2]
kuni [2]
kunren-sei [2]
kurabereba [2]
kurasu [2]
kurau [2]
kurenakattara [2]
kurerudarou [2]
kuretakara [2]
kurikaeshi [2]
kuro [2]
kutabatta [2]
kutta [2]
kuwaeru [2]
kuwashiku [2]
kyodaina [2]
kyokuryoku [2]
kyoten-tsukuri [2]
kyā~tsu [2]
kyōdaina [2]
kyōikude [2]
kyōka [2]
kyōko [2]
kyōkunda [2]
kyōshi [2]
kōan [2]
kōdōda [2]
kōgekida [2]
kōhei-bu [2]
kōka [2]
kōsen [2]
kōshi [2]
kōtōbu [2]
kūchū [2]
m [2]
machigainai [2]
machigainaku [2]
machigatte [2]
madeda [2]
magirekonde [2]
majieru [2]
makanawa [2]
makase [2]
makenai [2]
makeru [2]
makkōkara [2]
mamana [2]
mamore [2]
mamori [2]
mamotta [2]
mananda [2]
manuke [2]
maruko-dōshita [2]
masani [2]
mashida [2]
masshō [2]
matase [2]
matomo [2]
mattete [2]
mawasa [2]
mawashite [2]
mayotte [2]
mazui [2]
meikaku [2]
mendō [2]
metsubō [2]
mezurashiku [2]
mezurashī [2]
mienakatta [2]
mietakara [2]
migara [2]
mikaeri [2]
mikasā~tsu [2]
mikatada [2]
min [2]
minagoroshi [2]
minakatta [2]
mioboe [2]
mireba [2]
miseru [2]
miseta [2]
misu [2]
mitaidashi [2]
mitekita [2]
mitenai [2]
mitsukatte [2]
mitsuketa [2]
miyako [2]
mochiageru [2]
modoreru [2]
modoru [2]
mokuhyō-me [2]
mokuhyōda [2]
mondaida [2]
mondainai [2]
mono-ra [2]
monodearu [2]
monona [2]
monē [2]
moraenai [2]
moraeru [2]
moratte [2]
mosaku [2]
moshikuwa [2]
motome [2]
motta [2]
mudada [2]
mui [2]
mukaeireru [2]
mukau [2]
mukawa [2]
mukete [2]
mukuna [2]
muragaru [2]
muragatte [2]
musabori [2]
musekinin [2]
myōna [2]
mōdameda [2]
mōsukoshidake [2]
nagai [2]
nagasa [2]
naidarou [2]
naikedo [2]
nakamada [2]
nakayoku [2]
naki [2]
nakunatta [2]
nama [2]
namaridama [2]
name [2]
namida [2]
nanaba [2]
nandedarou [2]
nandemodekiru [2]
nanidatta [2]
nanijin [2]
nanikada [2]
nanikashira [2]
nanjūman [2]
nannotameni [2]
nantonaku [2]
narenai [2]
narenē [2]
nashi [2]
natchimatta [2]
nattenai [2]
ndarouga [2]
ndato [2]
ndesho [2]
negai [2]
nen [2]
nenne [2]
neratte [2]
nerau [2]
nerawa [2]
nigero [2]
nigeta [2]
nikui [2]
nimotsu [2]
nin [2]
ninai [2]
nita [2]
ni~tsu [2]
nnara [2]
nobotte [2]
nodarou [2]
nodeshou [2]
nogashita [2]
nokori [2]
nokoshite [2]
nokotta [2]
nokotte [2]
non [2]
noseru [2]
nosete [2]
nuku [2]
oboe [2]
oboete [2]
oda [2]
odorokasa [2]
oeta [2]
oitsume [2]
ojisan [2]
ojīchan [2]
okageda [2]
okashiku [2]
okashī [2]
oki [2]
okonakke [2]
okonatta [2]
okonau [2]
okorazu [2]
okotta [2]
omachikudasai [2]
omaenara [2]
omoenga [2]
omoidashite [2]
omoitsuita [2]
omoni [2]
omottakara [2]
omottara [2]
omowanē [2]
onore [2]
orenchi [2]
orenouma [2]
oriru [2]
orose [2]
oruo-san [2]
osaeru [2]
oshikatta [2]
oshī [2]
osoi [2]
osoregāru [2]
osoroshiku [2]
osoroshikute [2]
otome [2]
otōto [2]
owaru [2]
oyoso [2]
pan [2]
perapera [2]
pointo [2]
rarenakute [2]
rarezu [2]
ren [2]
reruto [2]
retai [2]
retakarada [2]
rifuto [2]
rikutsu [2]
roji [2]
rō [2]
sa-ge [2]
sagatte [2]
saguru [2]
saisei [2]
saishōgen [2]
saitan [2]
sakusenwokaeru [2]
samui [2]
sanpo-chū [2]
sarani [2]
sasageyo [2]
sasenai [2]
saseru [2]
sasshi [2]
satte [2]
sawaru [2]
seibutsu [2]
seida [2]
seikō-shadearu [2]
seisei [2]
seishin-ryoku [2]
seitō [2]
seizon-ritsu [2]
sekainanoni [2]
sekiningāru [2]
sekininsha [2]
semara [2]
sematte [2]
senaka [2]
sendō [2]
senjō [2]
senkyo [2]
senryoku [2]
setsugen [2]
settoku-ryoku [2]
shibito [2]
shidai [2]
shigai [2]
shigaichi [2]
shigan-sha [2]
shikai [2]
shikakete [2]
shikanēdaro [2]
shikatanaidesho [2]
shiki-yaku [2]
shimashitaga [2]
shimattara [2]
shimeru [2]
shimesu [2]
shimo [2]
shinaide [2]
shinanai [2]
shinanē [2]
shinchō [2]
shindemo [2]
shindemoī [2]
shingi-sho [2]
shinikata [2]
shinitakunē [2]
shinpai [2]
shinē [2]
shira [2]
shirabe [2]
shiranaikedo [2]
shiranakatta [2]
shirasa [2]
shirasenakereba [2]
shirazu [2]
shiri [2]
shirizoke [2]
shiru [2]
shirusa [2]
shisei [2]
shisetsu [2]
shisha [2]
shishō [2]
shishū [2]
shitadeshou [2]
shitagatte [2]
shitappa [2]
shitsureishimasu [2]
shitta [2]
shitterudesho [2]
shiyōganai [2]
shobun [2]
shogū [2]
shokei [2]
shuchō [2]
shuhi [2]
shukkō [2]
shumi [2]
shuryoku [2]
shusshinna [2]
shōaku [2]
shōsai [2]
shōshū [2]
shōsui [2]
shūdan [2]
soitsu-ra [2]
soitsuda [2]
sokudo [2]
sokuryoku [2]
someru [2]
son [2]
sonbō [2]
sonnabakana [2]
sonobade [2]
sonouede [2]
sonshitsu [2]
sonzaida [2]
sorashite [2]
soreda [2]
soredake [2]
sorede [2]
soredeite [2]
soredewa [2]
soreijō [2]
soreto [2]
soryā [2]
sotchoku [2]
subayaku [2]
subekida [2]
sugge [2]
sugida [2]
sugimasu [2]
sugoku [2]
suikō [2]
suimasen [2]
suiron-dōri [2]
suisoku [2]
suitai [2]
sukkari [2]
sukuidasu [2]
sukuwa [2]
sumimasen [2]
sumiyaka [2]
suna [2]
sunde [2]
surudarou [2]
surya [2]
susumou [2]
susumu [2]
susun [2]
sutero [2]
suwatte [2]
sōdakedo [2]
sōdarou [2]
sōiya [2]
sōshitsu [2]
sōsō [2]
sōtei [2]
sōzōijō [2]
sōō [2]
tabaneru [2]
tabete [2]
tachi [2]
tadaima [2]
tadaina [2]
taeru [2]
tagawanai [2]
tai [2]
taigi [2]
taigūda [2]
taihan [2]
taihen [2]
taihōwoutsu-on [2]
taiji [2]
taiken [2]
taikida [2]
taimingu [2]
tainai [2]
taipuda [2]
taisetsuna [2]
taisuru [2]
taiō [2]
takete [2]
takushita [2]
tamatama [2]
tanken [2]
tanki [2]
tanni [2]
tanomi [2]
tanon [2]
taoreta [2]
taoshite [2]
taru [2]
tasshite [2]
tasukarimashita [2]
tasukatte [2]
tatakawa [2]
tataki [2]
tatoe-yō [2]
tatoeba [2]
tayotte [2]
teatsui [2]
tegara [2]
teikō [2]
tekide [2]
tekii [2]
tekisei [2]
tekiyaku [2]
tenaidarou [2]
tenaikedo [2]
tenakattakara [2]
tenja [2]
tenjō [2]
tenē [2]
tenēto [2]
teppō [2]
terushi [2]
teruto [2]
teshita [2]
tetara [2]
tete [2]
tobe [2]
tochū [2]
todomeru [2]
toieba [2]
tokimasu [2]
toko [2]
tokoton [2]
tokubetsuna [2]
tomeru [2]
tomon [2]
torae [2]
toreru [2]
torigā [2]
torimodoseru [2]
torosuto-ku [2]
toru [2]
toshi [2]
tsubasa [2]
tsudzukeru [2]
tsudzuki [2]
tsugitsugi [2]
tsugō [2]
tsuikyū [2]
tsuini [2]
tsukaeba [2]
tsukatte [2]
tsukawanē [2]
tsukiatte [2]
tsukuse [2]
tsukutta [2]
tsukutte [2]
tsumannai [2]
tsumannē [2]
tsutaete [2]
tsutome [2]
tsutomeda [2]
tsuttatte [2]
tsūjō [2]
ttsu [2]
tōka [2]
tōshi [2]
tōtei [2]
uaaa [2]
uaaa~tsu [2]
uchigawa [2]
ugokou [2]
uijin [2]
ukai [2]
uke [2]
umakatta [2]
umu [2]
unaji-goto [2]
uoo~tsu [2]
uragittari [2]
ushinaeba [2]
usu [2]
utanaito [2]
utsu [2]
utsure [2]
utsurimashou [2]
utta [2]
uwaaaā~tsu [2]
u~tsuna [2]
vu~ai [2]
vu~ēruman [2]
wai [2]
waiyā [2]
wakan [2]
wakannē [2]
wakaranaidarou [2]
wakaranakatta [2]
wakaranakute [2]
wakareba [2]
wakari [2]
wakarimashita [2]
wanaikara [2]
wanakute [2]
wansa [2]
waruku [2]
warukunai [2]
wazuka [2]
wā [2]
yabai [2]
yakeni [2]
yakutatazu [2]
yakuwari [2]
yamahodo [2]
yamaoku [2]
yameta [2]
yareru [2]
yaritai [2]
yaritakya [2]
yaru-sa [2]
yarubekide [2]
yatsu-ra [2]
yatsudatta [2]
yattoru [2]
yo-sa [2]
yogosu [2]
yoke [2]
yokei [2]
yokeina [2]
yorokobu [2]
yorokonde [2]
yoshi~tsu [2]
yosoku [2]
yowamushi [2]
yuku [2]
yumeda [2]
yurusan [2]
yōha [2]
yōsho [2]
yōyaku [2]
yūki [2]
yūshūna [2]
zairyō [2]
zaisan [2]
zakariasu [2]
zannennagara [2]
zen-hei [2]
zengo [2]
zensokuryoku [2]
zoe [2]
~tsua [2]
āa [2]
ā~tsuuwa~tsu [2]
īdeshou [2]
ōkiku [2]
ōryō [2]
一個旅団並 [2]
叩 [2]
-dōshi [1]
-ji [1]
-sō [1]
-sōdakara [1]
-teki [1]
1-do [1]
1-dome [1]
1-funkan [1]
1-ji [1]
1-jikan [1]
1-jikan-tarazu [1]
1-kagetsu [1]
1-kagetsu-kan [1]
1-mai [1]
1-nichi-bun [1]
1-patsu [1]
1-po [1]
1-rina [1]
1-tai [1]
1-taida [1]
1-tō [1]
10-mei [1]
100-nen-buri [1]
100-nenkan [1]
12-sai [1]
13-dai [1]
15-byō [1]
1tsuda [1]
2-bashin [1]
2-bu [1]
2-do [1]
2-dome [1]
2-ji [1]
2-jikan-go [1]
2-kai [1]
2-nen [1]
2-nichi [1]
2-ri-nori [1]
2-rida [1]
2-rinara [1]
2-tō [1]
20-byō [1]
20-tai [1]
207-mei [1]
218-mei [1]
25-nen [1]
2tsu-me [1]
3-bu [1]
3-ji [1]
3-jikan [1]
3-kashoda [1]
3-nen [1]
3-nen-go [1]
3-nichi [1]
3-retsu-me [1]
3-tai [1]
34-pan [1]
4-nen-go [1]
4-nenkan [1]
4-pan [1]
4-retsu [1]
4-retsu-me [1]
4-tai [1]
42-pan [1]
45-bu-go [1]
5-jikan [1]
5-kai [1]
5-mei [1]
5-tai [1]
6-nichi [1]
6-wari [1]
6-warida [1]
846-nen [1]
897-mei [1]
9-sai [1]
a-sōda [1]
aaaaa [1]
aaaaā~tsu [1]
aa~tsu [1]
abunai [1]
abunakkashīkara [1]
adana [1]
agaite [1]
agaki [1]
agakida [1]
agaku [1]
agameru [1]
agaranē [1]
agatta [1]
age [1]
ageku [1]
agenaito [1]
ageta [1]
agete [1]
ageyou [1]
aha [1]
ahahaha~tsu [1]
ahahā [1]
ahhahaha [1]
ahhai [1]
ahō [1]
ai [1]
aishi-shin [1]
aiso [1]
aisurumono [1]
aita [1]
aitedearou [1]
aitenaraba [1]
aitsu-me [1]
aitsu-ra-dōshita [1]
aitsuda [1]
aizuda [1]
ajiwawa [1]
akakatta [1]
akaruku [1]
akashida [1]
ake [1]
akegatadatta [1]
aketa [1]
aketara [1]
akete [1]
akirakana [1]
akiramero [1]
akirameta [1]
akiramete [1]
akkita [1]
akkāman-san [1]
akubi [1]
akuma [1]
akumademo [1]
akunin [1]
amagu [1]
amayakasu [1]
ammata [1]
ammikasa [1]
angai [1]
ani-dōshita [1]
anidakarada [1]
anidatta [1]
ankoku [1]
annojō [1]
annē [1]
anokoha [1]
anomama [1]
anpi [1]
ansei [1]
anta-ra [1]
anta-tachi [1]
antai [1]
anzendato [1]
anzende [1]
anzuruna [1]
aogu [1]
aoi [1]
arakata [1]
arasou [1]
arata [1]
aratame [1]
aratamete [1]
araware [1]
arawaretara [1]
arawarete [1]
arawaru [1]
arawashite [1]
arawasu [1]
are-katada [1]
arechi [1]
aredattarou [1]
aren [1]
arenaraba [1]
ari-sō [1]
ari-sōda [1]
arienē [1]
arimasento [1]
arimashita [1]
arimashitaga [1]
arimasukara [1]
arouga [1]
arudaro [1]
arudarou [1]
arudaroukedo [1]
arudesho [1]
arui [1]
aruicha [1]
aruiwa [1]
arukedo [1]
aruku [1]
arumin-dōshita [1]
aruminna [1]
arya [1]
aryōsha [1]
asatte [1]
ashidematoidato [1]
ashidome [1]
ashiotoda [1]
asokoda [1]
assono [1]
ataen [1]
ataeru [1]
ataezu [1]
atai [1]
ataisuru [1]
atamade [1]
ataru [1]
atatteru [1]
atchi-gawa [1]
atchida [1]
atchigatta [1]
ate [1]
atehameta [1]
ateru [1]
atoda [1]
atsukai [1]
atsukunai [1]
atsukunaru [1]
atsumare [1]
atsumaru [1]
atsumatte [1]
atsume [1]
atsumeta [1]
atsumetaikara [1]
atsumete [1]
atsureki [1]
atsuryoku [1]
attadaro [1]
attakai [1]
attakaidaro [1]
attanode [1]
attanoni [1]
attaro [1]
attashi [1]
atterukara [1]
atteta [1]
au [1]
aura [1]
awase [1]
awasemochi [1]
awasereba [1]
awwa [1]
awwā [1]
ayatsuru [1]
ayauku [1]
ayumi [1]
azamuku [1]
azukari [1]
azukenakya [1]
azukeru [1]
azukete [1]
a~tsua [1]
a~tsuare [1]
a~tsueren [1]
a~tsuomaera [1]
a~tsuā [1]
a~tsuū [1]
bairā [1]
baka-sa [1]
bakadakara [1]
bakadakarana [1]
bakadattatte [1]
bakajo [1]
bakaka [1]
bakanara [1]
bakanisareteru-ji [1]
bakanishiyagatte [1]
bakaridatta [1]
bakaride [1]
bakarinanoni [1]
bakayarō [1]
bake [1]
bakemonoda [1]
bakete [1]
bakka [1]
bakkarida [1]
bakkaride [1]
bakken [1]
bakuhatsuda [1]
bana [1]
banjō [1]
banzen [1]
barabara [1]
baransu [1]
bare [1]
barebaredatta [1]
barenaiyōni [1]
barenakya [1]
barenē [1]
basha [1]
basse [1]
basse-raru [1]
basseneba [1]
batsu [1]
beddo [1]
benjo [1]
benkai [1]
berutoru-san [1]
betabeta [1]
betsubetsu [1]
betsuda [1]
betsumono [1]
bibitchimatte [1]
bihinjan [1]
bijo [1]
bikubiku [1]
binjō [1]
bishu [1]
boku-tachi [1]
bokuraha [1]
boroboroninattemo [1]
bosa [1]
bosuda [1]
botai [1]
bozado [1]
bu [1]
buchi [1]
buchikoma [1]
buchikomeru [1]
buchikonde [1]
buffubaruto [1]
buji [1]
bujidarou [1]
bujidatta [1]
bujina [1]
buki [1]
bukida [1]
bukidarouga [1]
bukken [1]
bundakara [1]
bunken [1]
buranaide [1]
burasagaru [1]
buraun [1]
buraunda [1]
bure [1]
bureina [1]
burēki [1]
buta [1]
buta-domo [1]
butagoya [1]
butsukaru [1]
butsukatcha [1]
butsuryō-sen [1]
buttsubushite [1]
buttōshi [1]
buun [1]
buzama [1]
bīnda [1]
bōei-sen [1]
bōgo [1]
bōsō [1]
chaban [1]
chansu [1]
chansuna [1]
chattakedo [1]
chaudauga [1]
che~ [1]
chibi [1]
chibin [1]
chichidakara [1]
chidjimetakunakattara [1]
chigaida [1]
chigaimasu [1]
chigatteta [1]
chigaudarou [1]
chikadzuite [1]
chikadzukeru [1]
chikai [1]
chikanara [1]
chikaratsukiru [1]
chikaratsukita [1]
chikashitsudato [1]
chikayori [1]
chikkishou [1]
chiku [1]
chimattaga [1]
chimattara [1]
chimaudarou [1]
chimitsuna [1]
chin [1]
chinkena [1]
chinnagabanashi [1]
chinokayotta [1]
chinsha [1]
chintara [1]
chinō [1]
chirashi [1]
chirashita [1]
chirashitatte [1]
chissassato [1]
chitchatta [1]
chizu [1]
cho-domo [1]
chokugodeshita [1]
chokushin [1]
choromakasu [1]
chottomattekudasai [1]
chīsai [1]
chōbutsudatta [1]
chōkyoridaga [1]
chōkyō [1]
chōriba [1]
chōsei [1]
chōsen [1]
chōshinara [1]
chōshininoru [1]
chōshuda [1]
chōzetsu [1]
chūe [1]
chūfuku [1]
chūnyū [1]
chūsha [1]
chūōdōri [1]
dagekida [1]
daha [1]
daidai [1]
daijinamono [1]
daijōbu-sū [1]
daijōbudarou [1]
daijōbudesho [1]
daijōbudesuyo [1]
daishōda [1]
daitan [1]
daiyaku [1]
dakaraaitsu-ra [1]
dakaranani [1]
dakaraotona [1]
dakaratte [1]
dakedaga [1]
dakedaro [1]
dakedarou [1]
dakena [1]
dakkyaku [1]
damatta [1]
damattenaidarouga [1]
damattoite [1]
damedakarane [1]
damedarou [1]
damedattara [1]
damedayo [1]
damedeshou [1]
damekana [1]
damenanda [1]
dandan [1]
danjite [1]
danmari [1]
danmatsuma [1]
danna-kata [1]
danseina [1]
darekaga [1]
daremoga [1]
darenidemo [1]
darenomono-tomo [1]
dari [1]
darisude [1]
darukute [1]
dase [1]
dasenai [1]
dashinuku [1]
dashitakunai [1]
datosuruto [1]
datsuraku-gumida [1]
datsuraku-sha [1]
datta [1]
dattaraitsu [1]
datō [1]
datōda [1]
daupā [1]
daupā-mura [1]
deatta [1]
deban [1]
deddonna [1]
dekakeru [1]
dekaku [1]
dekata [1]
dekimasendeshita [1]
dekin [1]
dekinaidarou [1]
dekinaidesho [1]
dekinaikara [1]
dekinjarou [1]
dekisokonai [1]
dekitadaro [1]
dekitakara [1]
dekitanoni [1]
dekiya [1]
dekunobō-domo [1]
dekuwashite [1]
dekuwasu [1]
demonai [1]
demonēdaro [1]
denaito [1]
denakereba [1]
denakute [1]
densen [1]
densenbyō [1]
denē [1]
denēdaro [1]
detai [1]
detara [1]
detatokoshōbu [1]
detekuru [1]
deyou [1]
doai [1]
dobu [1]
doite [1]
doji [1]
dokasu [1]
doketa [1]
dokodeshou [1]
doku [1]
dokubō [1]
dokudan [1]
dokuji [1]
dokutoku [1]
dominiku [1]
donnani [1]
donoatari [1]
donomichi [1]
dorekurai [1]
doryoku [1]
dotchida [1]
dotchidatta [1]
dotchigada [1]
dzuke [1]
dzura [1]
dzuradakara [1]
dītorihhi [1]
dōdatta [1]
dōdeshou [1]
dōdō [1]
dōji [1]
dōkanda [1]
dōkidearu [1]
dōku [1]
dōkutsu [1]
dōkyō [1]
dōnimo [1]
dōri [1]
dōrui [1]
dōruidarouga [1]
dōryō [1]
dōshidearu [1]
dōshitara [1]
dōshitemo [1]
dōten [1]
dōyara [1]
dōyō [1]
egao [1]
ehehe [1]
eida [1]
eirei [1]
eiyū-gokko [1]
ejjanga [1]
emasen [1]
emono [1]
enai [1]
enda [1]
endanda [1]
endandato [1]
engun [1]
enmei [1]
enseidakara [1]
enshutsu [1]
enshū [1]
ensuina [1]
enzetsu [1]
enē [1]
erabanakatta [1]
erabitai [1]
eraku [1]
erandakara [1]
eren-dōshita [1]
eren-kun [1]
eren-sū [1]
eren-tai [1]
erendato [1]
erenji [1]
erenna [1]
erudo-san [1]
erēn~tsu [1]
esada [1]
eshi [1]
essonna [1]
ete [1]
eyo [1]
fudan [1]
fuddōse [1]
fue [1]
fuffū [1]
fufu [1]
fufufu [1]
fufufufu [1]
fujimi [1]
fujimide [1]
fuka [1]
